Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Investigating online learners’ knowledge structure patterns by concept maps: A clustering analysis approach","Education and Information Technologies","","28","9","10.1007/s10639-023-11633-8","Xiuling HeJing FangHercy N. H. ChengQibin MenYangyang Li","2023","http://link.springer.com/article/10.1007/s10639-023-11633-8","Article"
"Towards making computers conscious: trends and challenges","Iran Journal of Computer Science","","7","2","10.1007/s42044-023-00164-7","L. M. Patnaik","2024","http://link.springer.com/article/10.1007/s42044-023-00164-7","Article"
"The key artificial intelligence technologies in early childhood education: a review","Artificial Intelligence Review","","57","1","10.1007/s10462-023-10637-7","Honghu YiTing LiuGongjin Lan","2024","http://link.springer.com/article/10.1007/s10462-023-10637-7","Article"
"Brain-inspired filtering Network for small infrared target detection","Multimedia Tools and Applications","","82","18","10.1007/s11042-023-14762-x","Ju MoranHu Qing","2023","http://link.springer.com/article/10.1007/s11042-023-14762-x","Article"
"Abstractive text summarization employing ontology-based knowledge-aware multi-focus conditional generative adversarial network (OKAM-CGAN) with hybrid pre-processing methodology","Multimedia Tools and Applications","","82","15","10.1007/s11042-022-14155-6","Nafees Muneera MSriramya P","2023","http://link.springer.com/article/10.1007/s11042-022-14155-6","Article"
"Distributed Deep Reinforcement Learning: A Survey and a Multi-player Multi-agent Learning Toolbox","Machine Intelligence Research","","21","3","10.1007/s11633-023-1454-4","Qiyue YinTongtong YuShengqi ShenJun YangMeijing ZhaoWancheng NiKaiqi HuangBin LiangLiang Wang","2024","http://link.springer.com/article/10.1007/s11633-023-1454-4","Article"
"Real-time instance segmentation with assembly parallel task","The Visual Computer","","39","9","10.1007/s00371-022-02537-8","Zhen YangYang WangFan YangZhijian YinTao Zhang","2023","http://link.springer.com/article/10.1007/s00371-022-02537-8","Article"
"A review of AI teaching and learning from 2000 to 2020","Education and Information Technologies","","28","7","10.1007/s10639-022-11491-w","Davy Tsz Kit NgMin LeeRoy Jun Yi TanXiao HuJ. Stephen DownieSamuel Kai Wah Chu","2023","http://link.springer.com/article/10.1007/s10639-022-11491-w","Article"
"Citation advantage of positive words: predictability, temporal evolution, and universality in varied quality journals","Scientometrics","","129","7","10.1007/s11192-024-05074-4","Dengsheng WuHuidong WuJianping Li","2024","http://link.springer.com/article/10.1007/s11192-024-05074-4","Article"
"Developing a computer-based tutor utilizing Generative Artificial Intelligence (GAI) and Retrieval-Augmented Generation (RAG)","Education and Information Technologies","","","","10.1007/s10639-024-13129-5","Youngjin Lee","2024","http://link.springer.com/article/10.1007/s10639-024-13129-5","Article"
"Text recognition and analysis of network public opinion focus events of a major epidemic: a case study of “COVID-19” in Sina Microblogs","Multimedia Tools and Applications","","82","17","10.1007/s11042-023-14916-x","HeLin WeiChenying HaiDonglu ShanBei LyuXiulai Wang","2023","http://link.springer.com/article/10.1007/s11042-023-14916-x","Article"
"Graph pooling in graph neural networks: methods and their applications in omics studies","Artificial Intelligence Review","","57","11","10.1007/s10462-024-10918-9","Yan WangWenju HouNan ShengZiqi ZhaoJialin LiuLan HuangJuexin Wang","2024","http://link.springer.com/article/10.1007/s10462-024-10918-9","Article"
"A meta-analysis of the effectiveness of programming teaching in promoting K-12 students’ computational thinking","Education and Information Technologies","","28","6","10.1007/s10639-022-11445-2","Enwei XuWei WangQingxia Wang","2023","http://link.springer.com/article/10.1007/s10639-022-11445-2","Article"
"Enhancing knowledge discovery and management through intelligent computing methods: a decisive investigation","Knowledge and Information Systems","","66","7","10.1007/s10115-024-02099-2","Rayees AhamadKamta Nath Mishra","2024","http://link.springer.com/article/10.1007/s10115-024-02099-2","Article"
"High spatial resolution remote sensing image segmentation based on the multiclassification model and the binary classification model","Neural Computing and Applications","","35","5","10.1007/s00521-020-05561-8","Xiaoxiong ZhengTao Chen","2023","http://link.springer.com/article/10.1007/s00521-020-05561-8","Article"
"emoLearnAdapt: A new approach for an emotion-based adaptation in e-learning environments","Education and Information Technologies","","29","12","10.1007/s10639-023-12429-6","Adil BoughidaMohamed Nadjib KouahlaYacine Lafifi","2024","http://link.springer.com/article/10.1007/s10639-023-12429-6","Article"
"Cognition2Vocation: meta-learning via ConvNets and continuous transformers","Neural Computing and Applications","","36","21","10.1007/s00521-024-09749-0","Sara KamranSaeid HosseiniSayna EsmailzadehMohammad Reza KangavariWen Hua","2024","http://link.springer.com/article/10.1007/s00521-024-09749-0","Article"
"Research on factors influencing the consumer repurchase intention: Data mining of consumers’ online reviews based on machine learning","Neural Computing and Applications","","36","17","10.1007/s00521-024-09591-4","Jianming ZhangHao ZhengJie LiuWei Shen","2024","http://link.springer.com/article/10.1007/s00521-024-09591-4","Article"
"Emerging artificial intelligence applications: metaverse, IoT, cybersecurity, healthcare - an overview","Multimedia Tools and Applications","","83","19","10.1007/s11042-023-17890-6","Neha SharmaNeeru Jindal","2024","http://link.springer.com/article/10.1007/s11042-023-17890-6","Article"
"Automated quantum software engineering","Automated Software Engineering","","31","1","10.1007/s10515-024-00436-x","Aritra Sarkar","2024","http://link.springer.com/article/10.1007/s10515-024-00436-x","Article"
